quality,
Autonomie,
Capacité d'écoute,
Capacité à prendre des responsabilités,
Capacité d'adaptation,
Créativité,
Curiosité,
Dynamisme,
Envie d'apprendre,
Esprit d'équipe,
Fiabilité,
Honnêteté,
implication,
Intégrité,
Motivation,
Ponctualité,
Rigueur,
Savoir faire,
Sympathie,
