city,department,region
Montigny-le-Bretonneux,78,Île-de-France
Montluçon,3,Auvergne-Rhône-Alpes
Montpellier,34,Occitanie
Montreuil,93,Île-de-France
Montrouge,92,Île-de-France
Mulhouse,68,Grand Est
Nancy,54,Grand Est
Nanterre,92,Île-de-France
Nantes,44,Pays de la Loire
Narbonne,11,Occitanie
Neuilly-sur-Marne,93,Île-de-France
Neuilly-sur-Seine,92,Île-de-France
Nevers,58,Bourgogne-Franche-Comté
Nice,6,Provence-Alpes-Côte d'Azur
Nîmes,30,Occitanie
Niort,79,Nouvelle-Aquitaine
Nogent-sur-Marne,94,Île-de-France
Noisy-le-Grand,93,Île-de-France
Noisy-le-Sec,93,Île-de-France
Nouméa11,988,Nouvelle-Calédonie
Orléans,45,Centre-Val de Loire
Palaiseau,91,Île-de-France
Pantin,93,Île-de-France
Paris,75,Île-de-France
Pau,64,Nouvelle-Aquitaine
Perpignan,66,Occitanie
Pessac,33,Nouvelle-Aquitaine
Pierrefitte-sur-Seine,93,Île-de-France
Plaisir,78,Île-de-France
Poissy,78,Île-de-France
Poitiers,86,Nouvelle-Aquitaine
Pontault-Combault,77,Île-de-France
Pontoise,95,Île-de-France
Puteaux,92,Île-de-France
Quimper,29,Bretagne
Reims,51,Grand Est
Rennes,35,Bretagne
Rezé,44,Pays de la Loire
Rillieux-la-Pape,69,Auvergne-Rhône-Alpes
Roanne,42,Auvergne-Rhône-Alpes
Romainville,93,Île-de-France
Romans-sur-Isère,26,Auvergne-Rhône-Alpes
Rosny-sous-Bois,93,Île-de-France
Roubaix,59,Hauts-de-France
Rouen,76,Normandie
Rueil-Malmaison,92,Île-de-France
Saint-André,974,La Réunion
Saint-Benoît,974,La Réunion
Saint-Brieuc,22,Bretagne
Saint-Chamond,42,Auvergne-Rhône-Alpes
Saint-Cloud,92,Île-de-France
Saint-Denis,93,Île-de-France
Saint-Denis,974,La Réunion
Saint-Étienne,42,Auvergne-Rhône-Alpes
Saint-Germain-en-Laye,78,Île-de-France
Saint-Herblain,44,Pays de la Loire
Saint-Joseph,974,La Réunion
Saint-Laurent-du-Maroni,973,Guyane
Saint-Leu,974,La Réunion
Saint-Louis,974,La Réunion
Saint-Malo,35,Bretagne
Saint-Martin,971,Saint-Martin
Saint-Martin-d'Hères,38,Auvergne-Rhône-Alpes
Saint-Maur-des-Fossés,94,Île-de-France
Saint-Médard-en-Jalles,33,Nouvelle-Aquitaine
Saint-Nazaire,44,Pays de la Loire
Saint-Ouen-sur-Seine,93,Île-de-France
Saint-Paul,974,La Réunion
Saint-Pierre,974,La Réunion
Saint-Priest,69,Auvergne-Rhône-Alpes
Saint-Quentin,2,Hauts-de-France
Saint-Raphaël,83,Provence-Alpes-Côte d'Azur
Sainte-Geneviève-des-Bois,91,Île-de-France
Sainte-Marie,974,La Réunion
Salon-de-Provence,13,Provence-Alpes-Côte d'Azur
Sarcelles,95,Île-de-France
Sartrouville,78,Île-de-France
Savigny-sur-Orge,91,Île-de-France
Schiltigheim,67,Grand Est
Sète,34,Occitanie
Sevran,93,Île-de-France
